University Name,State,Country,Course Name,Average Fees (Per Year),Currency
University of Strathclyde,Glasgow City,United Kingdom,MSc in Data Science for Politics and Policymaking,19600.0,GBP
University of Strathclyde,Glasgow City,United Kingdom,MSc in Data Analytics,28250.0,GBP
Uppsala University,Uppsala l'n,Sweden,Masters in Data Science - Data Engineering,145000.0,SEK
Uppsala University,Uppsala l'n,Sweden,Masters in Machine Learning and Statistics,145000.0,SEK
"Northeastern University, Seattle",Washington,United States,MS in Data Analytics Engineering,28816.0,USD
"Northeastern University, Seattle",Washington,United States,Masters in Professional Studies in Analytics,52245.0,USD
Kingston University London,Kingston upon Thames,United Kingdom,MSc in Data Science,18500.0,GBP
Western Sydney University,New South Wales,Australia,Masters in Data Science,36688.0,AUD
Western Sydney University,New South Wales,Australia,Masters in Data Analytics,35280.0,AUD
Clark University,Massachusetts,United States,Masters in Data Analytics,20000.0,USD
University of North Dakota,North Dakota,United States,MS in Data Science,19625.0,USD
HEC Paris,Paris,France,MSc in Data Science for Business,24650.0,EUR
Hofstra University,New York,United States,MS in Data Science,48900.0,USD
University of Southampton,Southampton,United Kingdom,MSc in Data and Decision Analytics,24200.0,GBP
University of Southampton,Southampton,United Kingdom,MSc in Data Science,32300.0,GBP
Embry Riddle Aeronautical University,Florida,United States,MS in Data Science,35340.0,USD
Utrecht University,Utrecht,Netherlands,MSc in Applied Data Science,23765.0,EUR
Flinders University,South Australia,Australia,Masters in Data Science,37200.0,AUD
Edith Cowan University,Western Australia,Australia,Masters in Data Science,39850.0,AUD
Montclair State University,New Jersey,United States,MS in Data Science,18100.0,USD
Claremont Graduate University,California,United States,MS in Information Systems and Technology: Data Science and Analytics,72720.0,USD
University of North America,Virginia,United States,Masters in Big Data,,USD
Ecole Polytechnique,Palaiseau,France,M.S in Data Science,21750.0,EUR
University of Leicester,Leicester,United Kingdom,MSc in Satellite Data Science with Industry,14567.0,GBP
University of Leicester,Leicester,United Kingdom,MSc in Satellite Data Science,21850.0,GBP
University of Leicester,Leicester,United Kingdom,MSc in Data Analysis for Business Intelligence,23650.0,GBP
"City, University of London",London,United Kingdom,MSc in Data Science,22940.0,GBP
"City, University of London",London,United Kingdom,MSc in Data Science Apprenticeship,21000.0,GBP
