University Name,Address,lat,long,geometry
"University of Maryland, College Park","University of Maryland, College Park, Maryland, United States",38.990412449999994,-76.9438585924238,POINT (-76.9438585924238 38.990412449999994)
"The University of British Columbia, Vancouver","The University of British Columbia, Vancouver, British Columbia, Canada",49.25783145,-123.24624198622213,POINT (-123.24624198622213 49.25783145)
Arizona State University,"Arizona State University, Arizona, United States",33.3366204,-111.8972487,POINT (-111.8972487 33.3366204)
University of North Carolina at Charlotte,"University of North Carolina at Charlotte, North Carolina, United States",35.30649445,-80.73497049689712,POINT (-80.73497049689712 35.30649445)
"University of Michigan, Ann Arbor","University of Michigan, Ann Arbor, Michigan, United States",42.2942142,-83.71003893509601,POINT (-83.71003893509601 42.2942142)
Columbia University,"Columbia University, New York, United States",40.80775585,-73.96164946987652,POINT (-73.96164946987652 40.80775585)
University of Illinois at Urbana-Champaign,"University of Illinois at Urbana-Champaign, Illinois, United States",40.098956,-88.219124,POINT (-88.219124 40.098956)
"University of California, Berkeley","University of California, Berkeley, California, United States",37.87425655,-122.23870915696222,POINT (-122.23870915696222 37.87425655)
Pennsylvania State University,"Pennsylvania State University, Pennsylvania, United States",40.80395,-77.85722,POINT (-77.85722 40.80395)
"University of Minnesota, Twin Cities","University of Minnesota, Twin Cities, Minnesota, United States",38.2910251,-121.31106,POINT (-121.31106 38.2910251)
University of Pennsylvania,"University of Pennsylvania, Pennsylvania, United States",39.948327,-75.186729,POINT (-75.186729 39.948327)
University of Washington,"University of Washington, Washington, United States",47.6571,-122.3077,POINT (-122.3077 47.6571)
Massachusetts Institute of Technology,"Massachusetts Institute of Technology, Massachusetts, United States",42.357767,-71.096983,POINT (-71.096983 42.357767)
Virginia Tech,"Virginia Tech, Virginia, United States",37.226284,-80.425308,POINT (-80.425308 37.226284)
University of Waterloo,"University of Waterloo, Ontario, Canada",43.4701994,-80.54524293779451,POINT (-80.54524293779451 43.4701994)
Syracuse University,"Syracuse University, New York, United States",43.018713,-76.119226,POINT (-76.119226 43.018713)
University of Massachusetts Amherst,"University of Massachusetts Amherst, Massachusetts, United States",42.386969300000004,-72.53018467326824,POINT (-72.53018467326824 42.386969300000004)
Stanford University,"Stanford University, California, United States",37.431313849999995,-122.16936535498309,POINT (-122.16936535498309 37.431313849999995)
Cornell University,"Cornell University, New York, United States",40.76484285,-73.95476247405148,POINT (-73.95476247405148 40.76484285)
University of Houston,"University of Houston, Texas, United States",29.7207902,-95.34406271491369,POINT (-95.34406271491369 29.7207902)
University of South Florida,"University of South Florida, Florida, United States",28.5421109,-81.3790304,POINT (-81.3790304 28.5421109)
University of Wisconsin-Madison,"University of Wisconsin-Madison, Wisconsin, United States",45.12941,-90.3357,POINT (-90.3357 45.12941)
McGill University,"McGill University, Montreal, Canada",45.50688675,-73.57908551043636,POINT (-73.57908551043636 45.50688675)
Ohio State University,"Ohio State University, Ohio, United States",39.99618,-83.01879,POINT (-83.01879 39.99618)
Indiana University Bloomington,"Indiana University Bloomington, Indiana, United States",39.1802358,-86.50935262731483,POINT (-86.50935262731483 39.1802358)
Clemson University,"Clemson University, South Carolina, United States",37.3292167,-86.3646994,POINT (-86.3646994 37.3292167)
University of Arizona,"University of Arizona, Arizona, United States",32.232101,-110.952363,POINT (-110.952363 32.232101)
Harvard University,"Harvard University, Massachusetts, United States",42.365743249999994,-71.12221394207614,POINT (-71.12221394207614 42.365743249999994)
Technical University of Munich,"Technical University of Munich, Bavaria, Germany",48.2655696,11.669345610437997,POINT (11.669345610437997 48.2655696)
The University of Utah,"The University of Utah, Utah, United States",40.2728167,-111.69880112571488,POINT (-111.69880112571488 40.2728167)
Texas Tech University,"Texas Tech University, Texas, United States",33.584461,-101.87149,POINT (-101.87149 33.584461)
Carleton University,"Carleton University, Ottawa, Canada",45.3858581,-75.69500411688679,POINT (-75.69500411688679 45.3858581)
University of Calgary,"University of Calgary, Alberta, Canada",51.07505395,-114.13876168856827,POINT (-114.13876168856827 51.07505395)
Dalhousie University,"Dalhousie University, Nova Scotia, Canada",44.634778,-63.590802,POINT (-63.590802 44.634778)
University of Virginia,"University of Virginia, Virginia, United States",38.037659,-78.526541,POINT (-78.526541 38.037659)
Princeton University,"Princeton University, New Jersey, United States",40.340129,-74.657404,POINT (-74.657404 40.340129)
Yale University,"Yale University, Connecticut, United States",39.6686335,-104.9270833,POINT (-104.9270833 39.6686335)
RWTH Aachen University,"RWTH Aachen University, North Rhine-Westphilia, Germany",50.7791657,6.068920935592383,POINT (6.068920935592383 50.7791657)
University of Colorado at Denver,"University of Colorado at Denver, Colorado, United States",39.674067,-104.977776,POINT (-104.977776 39.674067)
"New York Institute of Technology, NY Campus","New York Institute of Technology, NY Campus, New York, United States",40.77636,-73.963662,POINT (-73.963662 40.77636)
Rice University,"Rice University, Texas, United States",29.716087,-95.40941,POINT (-95.40941 29.716087)
Delft University of Technology,"Delft University of Technology, South Holland, Netherlands",51.99882735,4.373960368154041,POINT (4.373960368154041 51.99882735)
The University of Melbourne,"The University of Melbourne, Victoria, Australia",-37.824680150000006,144.96878302072327,POINT (144.96878302072327 -37.824680150000006)
Kansas State University,"Kansas State University, Kansas, United States",38.514612,-94.93939,POINT (-94.93939 38.514612)
National University Of Singapore,"National University Of Singapore, Singapore, Singapore",1.2962018,103.77689765953073,POINT (103.77689765953073 1.2962018)
